volume,pagina,book,value
1,658,2Ch,32:24
1,659,2Ch,32:31
1,660,2Ch,33:19
1,661,2Ch,34:6
1,662,2Ch,34:21
1,662,2Ch,34:25
1,663,2Ch,34:22
1,664,2Ch,35:8
1,664,2Ch,35:9
1,665,2Ch,35:15
1,666,2Ch,36:9
1,667,2Ch,36:10
1,669,Esd,1:6
1,670,Esd,1:9
1,671,Esd,1:10
1,671,Esd,1:11
1,672,Esd,2:40
1,676,Esd,2:42
1,677,Esd,3:5
1,678,Esd,3:12
1,679,Esd,4:7
1,680,Esd,5:4
1,681,Esd,5:8
1,682,Esd,6:4
1,683,Esd,6:15
1,684,Esd,7:12
1,685,Esd,8:5
1,686,Esd,8: 14
1,687,Esd,8:14
1,688,Esd,8:17
1,689,Esd,8:26
1,690,Esd,9:13
1,691,Esd,10:14
1,692,Esd,10:24
1,693,Esd,10:29
1,695,Néh,2:1
1,696,Néh,3:1
1,698,Néh,3:8
1,699,Néh,3:20
1,700,Néh,4:2
1,701,Néh,4:6
1,702,Néh,4:8
1,703,Néh,4:17
1,704,Néh,5:2
1,705,Néh,5:11
1,706,Néh,5:16
1,707,Néh,5:18
1,708,Néh,6:16
1,710,Néh,7:67
1,712,Néh,7:69
1,713,Néh,8:8
1,713,Néh,9:6
1,714,Néh,9:8
1,715,Néh,11:8
1,716,Néh,11:10
1,717,Néh,11:17
1,718,Néh,12:9
1,719,Néh,12:24
1,720,Néh,12:38
1,721,Néh,12:39
1,723,Est,1:22
1,725,Est,3:7
1,727,Est,9:25
1,728,Est,9:29
1,728,Est,9:31
2,95,Is,1:7
2,97,Is,1:12
2,99,Is,1:17
2,101,Is,1:20
2,103,Is,1:21
2,104,Is,1:29
2,105,Is,1:31
2,107,Is,2:6
2,108,Is,2:9
2,109,Is,2:10
2,110,Is,2:12
2,112,Is,2:19
2,114,Is,3:1
2,115,Is,3:10
2,116,Is,3:12
2,119,Is,3:13
2,120,Is,3:24
2,123,Is,4:5
2,124,Is,5:1
2,125,Is,5:9
2,126,Is,5:13
2,128,Is,5:17
2,130,Is,5:18
2,132,Is,5:26
2,133,Is,6:10
2,135,Is,6:13
2,138,Is,7:1
2,140,Is,7:11
2,141,Is,8:2
2,143,Is,8:6
2,144,Is,8:8
2,145,Is,8:9
2,148,Is,8:11
2,150,Is,8:13
2,151,Is,8:14
2,153,Is,8:21
2,154,Is,9:2
2,157,Is,9:10
2,158,Is,9:16
2,160,Is,9:18
2,163,Is,9:19
2,165,Is,10:4
2,168,Is,10:12
2,169,Is,10:25
2,171,Is,10:27
2,172,Is,10:30
2,173,Is,10:34
2,175,Is,11:4
2,176,Is,11:6
2,177,Is,11:11
2,178,Is,11:15
2,180,Is,12:2
2,184,Is,13:2
2,186,Is,13:13
2,187,Is,13:22
2,189,Is,14:2
2,190,Is,14:4
2,194,Is,14:6
2,196,Is,14:12
2,198,Is,14:19
2,199,Is,14:21
2,201,Is,14:30
2,204,Is,15:2
2,205,Is,15:3
2,206,Is,15:5
2,208,Is,15:9
2,212,Is,16:1
2,216,Is,16:4
2,217,Is,16:7
2,219,Is,16:10
2,220,Is,16:14
2,221,Is,17:2
2,223,Is,17:5
2,224,Is,17:9
2,227,Is,17:12
2,227,Is,17:13
2,228,Is,18:4
2,229,Is,18:7
2,231,Is,19:7
2,232,Is,19:9
2,233,Is,19:10
2,235,Is,19:12
2,236,Is,19:14
2,237,Is,19:18
2,244,Is,20:2
2,245,Is,20:6
2,246,Is,21:1
2,247,Is,21:2
2,248,Is,21:8
2,249,Is,22:3
2,250,Is,22:6
2,251,Is,22:17
2,252,Is,22:19
2,254,Is,23:1
2,255,Is,23:2
2,256,Is,23:3
2,258,Is,23:4
2,260,Is,23:5
2,262,Is,23:10
2,264,Is,23:11
2,265,Is,23:14
2,266,Is,24:4
2,268,Is,24:16
2,271,Is,25:2
2,272,Is,25:4
2,273,Is,25:5
2,274,Is,26:5
2,275,Is,26:6
2,275,Is,26:7
2,276,Is,26:8
2,277,Is,26:16
