book,chapter,verse,word_index,Qere,Ketiv,Strongs Q,Parsing Q,Strongs K,Parsing K
Psa,145,6,4,וּ/גְדוּלָּתְ/ךָ֥,"K= u./ge.du.lo.tei./kha (וּ/גְדוּלֹּתֶי/ךָ) ""and/ greatness<es>/ your"" (H9002/H1420/H9021=HC/Ncfpc/Sp2ms)",H1420 H9021,Ncfsc Sp2ms,H1420 H9021,Ncfpc Sp2ms
Psa,147,19,2,דְּבָרָ֣י/ו,"K= de.va.ro/v (דְּבָר/וֹ) ""word/ his"" (H1697G/H9023=HNcmsc/Sp3ms)",H1697G H9023,HNcmpc Sp3ms,H1697G H9023,HNcmsc Sp3ms
Psa,148,2,6,צְבָאָֽי/ו\׃,"K= tze.va.'o/v (צְבָא/וֹ\׃) ""host/ his"" (H6635A/H9023\H9016=HNcmsc/Sp3ms)",H6635A H9023 H9016,HNcmpc Sp3ms,H6635A H9023 H9016,HNcmsc Sp3ms
Pro,2,7,1,יִצְפֹּ֣ן,"K= ve./tza.fan (וְ/צָפַן) ""and/ he stores up"" (H9002/H6845=HC/Vqu3ms)",H6845,HVqi3ms,H6845,Vqu3ms
Pro,2,8,5,חֲסִידָ֣י/ו,"K= cha.si.do/v (חֲסִיד/וֹ) ""faithful [person]/ his"" (H2623/H9023=HAamsc/Sp3ms)",H2623 H9023,HAampc Sp3ms,H2623 H9023,HAamsc Sp3ms
Pro,3,27,7,יָדְ/ךָ֣,"K= ya.dei./kha (יָדֶי/ךָ) ""hands/ your"" (H3027H/H9021=HNcbdc/Sp2ms)",H3027H H9021,HNcbsc Sp2ms,H3027H H9021,HNcbdc Sp2ms
Pro,3,28,3,לְ/רֵֽעֲ/ךָ֨,"K= le./re.'ei./kha (לְ/רֵעֶי/ךָ) ""to/ neighbors/ your"" (H9005/H7453/H9021=HR/Ncmpc/Sp2ms)",H9005 H7453 H9021,HR Ncmsc Sp2ms,H9005 H7453 H9021,HR Ncmpc Sp2ms
Pro,4,16,11,יַכְשִֽׁילוּ\׃,"K= yikh.sho.lu (יִכְשׁוֹלוּ\׃) ""they stumble"" (H3782\H9016=HVqi3mp)",H3782 H9016,HVhi3mp,H3782 H9016,HVqi3mp
Pro,6,13,2,בְּ֭/עֵינָי/ו,"K= Be./'ei.na/v (בְּ֭/עֵינ/וֹ) ""with/ eye/ his"" (H9003/H5869A/H9023=HR/Ncbsc/Sp3ms)",H9003 H5869A H9023,HR Ncfdc Sp3ms,H9003 H5869A H9023,HR Ncbsc Sp3ms
Pro,6,13,4,בְּ/רַגְלָ֑י/ו,"K= be./rag.La/v (בְּ/רַגְל/וֹ) ""with/ foot/ his"" (H9003/H7272/H9023=HR/Ncbsc/Sp3ms)",H9003 H7272 H9023,HR Ncfdc Sp3ms,H9003 H7272 H9023,HR Ncbsc Sp3ms
Pro,6,16,6,תּוֹעֲבַ֥ת,"K= to.'a.Vot (תּוֹעֲבוֹת) ""[the] disgusting things of"" (H8441=HNcfpc)",H8441,HNcfsc,H8441,HNcfpc
Pro,8,35,3,מָצָ֣א,"K= mo.tze.'ei (מֹצְאֵי) ""[are] finders of"" (H4672=HVqrmsc)",H4672,HVqp3ms,H4672,HVqrmsc
Pro,12,14,9,יָשִׁ֥יב,"K= ya.shuv (יָשׁוּב) ""it will return"" (H7725G=HVqi3ms)",H7725G,HVhi3ms,H7725G,HVqi3ms
Pro,13,20,1,הוֹלֵ֣ךְ,"K= ha.lokh (הָלוֹךְ) ""walking"" (H1980I=HVqaa)",H1980I,HVqrmsa,H1980I,HVqaa
Pro,13,20,4,יֶחְכָּ֑ם,"K= va./cha.kham (וַ/חֲכָם) ""and/ become wise"" (H9002/H2449=HC/Vqv2ms)",H2449,HVqi3ms,H2449,Vqv2ms
Pro,16,27,6,שְׂ֝פָת֗/וֹ,"K= se.fa.ta/v (שְׂפָתָי/ו) ""lips/ his"" (H8193H/H9023=HNcfpc/Sp3ms)",H8193H H9023,HNcfsc Sp3ms,H8193H H9023,HNcfpc Sp3ms
Pro,18,17,4,וּ/בָֽא,"K= ya.vo'- (יָבֹא) ""he will come"" (H0935G=HVqi3ms)",H0935G,Vqq3ms,H0935G,HVqi3ms
Pro,19,16,7,יָמֽוּת\׃,"K= yu.mat (יוּמָת\׃) ""he will be put to death"" (H4191\H9016=HVHi3ms)",H4191 H9016,HVqi3ms,H4191 H9016,HVHi3ms
Pro,20,4,5,וְ/שָׁאַ֖ל,"K= yish.'al (יִשְׁאַל) ""he asks"" (H7592=HVqi3ms)",H7592,Vqq3ms,H7592,HVqi3ms
Pro,20,16,7,נָכְרִיָּ֣ה,"K= na.khe.rim (נָכְרִים) ""foreigners"" (H5237=HAampa)",H5237,HAafsa,H5237,HAampa
Pro,20,20,6,בֶּ/אֱשׁ֥וּן,"K= be./'i.shon (בְּ/אִישׁוֹן) ""in/ [the] middle of"" (H9003/H0380=HR/Ncbsc)",H9003 H0380,HR Ncmsc,H9003 H0380,HR Ncbsc
