book,chapter,verse,type
Ezk,16,51,k
Ezk,16,59,k
Ezk,17,21,k
Ezk,18,20,k
Ezk,18,21,k
Ezk,18,24,k
Ezk,22,18,k
Ezk,23,16,K
Ezk,23,42,K
Ezk,23,43,kK
Ezk,25,7,K
Ezk,25,9,K
Ezk,27,3,k
Ezk,28,3,K
Ezk,29,7,K
Ezk,31,5,k
Ezk,31,18,k
Ezk,32,31,k
Ezk,32,32,kK
Ezk,33,13,k
Ezk,33,16,k
Ezk,35,9,K
Ezk,35,12,k
Ezk,36,13,kK
Ezk,36,14,kK
Ezk,36,15,k
Ezk,37,16,k
Ezk,37,19,k
Ezk,37,22,k
Ezk,39,11,k
Ezk,40,6,k
Ezk,40,9,k
Ezk,40,15,k
Ezk,40,21,k
Ezk,40,22,k
Ezk,40,24,k
Ezk,40,25,k
Ezk,40,26,k
Ezk,40,29,k
Ezk,40,31,k
Ezk,40,33,k
Ezk,40,34,kK
Ezk,40,36,kK
Ezk,40,37,k
Ezk,41,8,K
Ezk,41,15,K
Ezk,42,9,kK
Ezk,42,14,k
Ezk,42,16,K
Ezk,43,11,kK
Ezk,43,15,k
Ezk,43,16,k
Ezk,43,26,k
Ezk,44,3,K
Ezk,44,5,k
Ezk,44,24,kK
Ezk,45,3,k
Ezk,45,5,k
Ezk,46,9,k
Ezk,46,15,k
Ezk,46,19,K
Ezk,47,10,k
Ezk,47,11,k
Ezk,47,12,k
Ezk,48,14,k
Ezk,48,15,k
Ezk,48,16,K
Ezk,48,21,k
Ezr,3,3,k
Ezr,4,2,K
Ezr,4,4,K
Ezr,4,7,k
Ezr,4,9,K
Ezr,4,11,k
Ezr,4,12,kK
Ezr,5,1,K
Ezr,5,15,K
Ezr,6,14,K
Ezr,6,17,K
Ezr,8,14,K
Ezr,8,17,K
Ezr,10,12,k
Ezr,10,29,K
Ezr,10,44,k
Gen,9,21,k
Gen,12,8,k
Gen,13,3,k
Gen,24,33,K
Gen,27,3,K
Gen,27,29,k
Gen,30,11,K
Gen,35,21,k
Gen,39,20,K
Gen,43,28,k
Gen,49,11,k
Hab,3,4,k
Hab,3,14,k
Hag,1,8,k
Hos,8,12,K
Hos,9,16,K
Hos,10,10,K
Isa,3,15,K
Isa,5,29,k
Isa,9,3,K
Isa,9,7,k
Isa,10,13,K
Isa,10,32,K
Isa,12,5,k
Isa,13,16,K
Isa,16,3,k
Isa,25,10,K
Isa,26,20,k
Isa,28,15,kK
Isa,29,11,k
Isa,30,5,K
Isa,30,32,K
Isa,30,33,k
Isa,32,7,K
Isa,32,15,k
Isa,36,12,K
Isa,37,30,k
Isa,39,2,k
Isa,41,23,k
Isa,42,20,k
Isa,42,24,K
Isa,44,24,K
Isa,45,2,k
Isa,46,11,K
Isa,47,13,k
Isa,49,5,K
Isa,49,6,K
Isa,49,13,k
Isa,52,2,k
Isa,52,5,kK
Isa,54,16,K
Isa,55,13,k
Isa,56,10,K
Isa,57,19,K
Isa,60,21,K
Isa,62,3,k
Isa,63,9,K
Isa,65,4,K
Isa,65,7,K
Isa,66,17,k
Jdg,1,27,k
Jdg,6,5,k
