book,chapter,verse,word_index,Qere,Ketiv,Strongs Q,Parsing Q,Strongs K,Parsing K
1Sa,24,8(24,7,מֵֽ/הַ/מְּעָרָ֔ה,"K= ha./me.'a.rah (הַ/מְּעָרָה) ""the/ cave"" (H9009/H4631=HTd/Ncfsa)",H9006  H4631,HR Td Ncfsa,H4631,HTd Ncfsa
1Sa,24,18(24,1,וְ/אַתָּה֙,"K= ve./'at (וְ/אַתְּ) ""and/ you"" (H9002/H0859C=HC/Pp2fs)",H0859A,Pp2ms,H0859C,Pp2fs
1Sa,25,3,17,כָלִבִּֽי\׃,"K= kha/l.vo/v (כְ/לִבּ/וֹ\׃) ""[was] like/ heart/ his"" (H9004/H3820A/H9023\H9016=HR/Ncbsc/Sp3ms)",H3614 H9016,HNgmsa,H9004 H3820A H9023 H9016,HR Ncbsc Sp3ms
1Sa,26,7,19,סְבִיבֹתָֽי/ו\׃\ \ס,"K= se.vi.vo.to/v (סְבִיבֹת/וֹ\׃\ \ס) ""around/ him"" (H5439G/H9033\H9016\ \H9018=HNcbsc/Sp3bs)",H5439G H9033 H9016   H9018,HNcbpc Sp3ms,H9018,HNcbsc Sp3bs
1Sa,29,5,13,בְּ/רִבְבֹתָֽי/ו\׃\ \ס,"K= be./ri.vo.to/v (בְּ/רִבְבֹת/וֹ\׃\ \ס) ""<on>/ ten thousand/ his"" (H9003/H7233/H9023\H9016\ \H9018=HR/Ncfsc/Sp3ms)",H9003 H7233 H9023 H9016   H9018,HR Ncfpc Sp3ms,H9018,HR Ncfsc Sp3ms
2Sa,3,25,13,מ֣וֹבָאֶ֔/ךָ,"K= mi.vo.'e./kha (מְבוֹאֶ/ךָ) ""comings in/ your"" (H3996/H9021=HNcbsc/Sp2ms)",H4126 H9021,HNcmsc Sp2ms,H3996 H9021,HNcbsc Sp2ms
2Sa,5,24,2,כְּֽ/שָׁמְעֲ/ךָ֞,"K= be./sha.me.'a./kha (בְּ/שָׁמְעֲ/ךָ) ""when/ hearing/ you"" (H9003/H8085G/H9041=HR/Vqcc/Sp2ms)",H9004 H8085G H9041,HR Vqcc Sp2ms,H9003 H8085G H9041,HR Vqcc Sp2ms
2Sa,8,3,12,בִּֽ/נְהַר/־/פְּרָֽת\׃,"K= bi/n.har- (בִּֽ/נְהַר\׃) ""at/ [the] river"" (H9003/H5104G\H9016=HR/Npl)",H9003 H5104G H9014 H6578 H9016,HR Ncmsc  Npl,H9003 H5104G H9016,HR Npl
2Sa,10,9,13,יִשְׂרָאֵ֔ל,"K= be./yis.ra.'el (בְּ/יִשְׂרָאֵל) ""in/ Israel"" (H9003/H3478=HR/Npl)",H3478,HNpl,H9003 H3478,HR Npl
2Sa,11,24,1,וַ/יֹּר֨וּ,"K= va/i.yo.re.'u (וַ/יֹּרְאוּ) ""and/ they feared"" (H9001/H3372G=Hc/Vhw3mp)",H3384A,Vhw3mp,H3372G,Vhw3mp
2Sa,12,9,8,בְּ/עֵינַ/י֒,"K= be./'ei.n/o (בְּ/עֵינ/וֹ) ""in/ eyes/ his"" (H9003/H5869H/H9023=HR/Ncbsc/Sp3ms)",H9003 H5869H H9020,HR Ncfdc Sp1bs,H9003 H5869H H9023,HR Ncbsc Sp3ms
2Sa,13,33,15,,"K= 'im- (אִם\־) ""except"" (H0518B\H9014=HTc)",,,H0518B H9014,HTc
2Sa,14,7,27,שִׂים,"K= som- (שׂוּם\־) ""to establish"" (H7760H\H9014=HVqcc)",H7760H,HVqcc,H7760H H9014,HVqcc
2Sa,14,22,26,עַבְדֶּֽ/ךָ\׃,"K= av.d/o (עַבְדּ/וֹ\׃) ""servant/ his"" (H5650/H9023\H9016=HNcbsc/Sp3ms)",H5650 H9021 H9016,HNcmsc Sp2ms,H5650 H9023 H9016,HNcbsc Sp3ms
2Sa,15,8,10,יָשׁ֨וֹב,"K= ye.shiv (יָשִׁיב) ""he will bring back"" (H7725H=HVhi3ms)",H3427,HVqaa,H7725H,HVhi3ms
2Sa,15,28,4,בְּ/עַֽרְב֖וֹת,"K= be./'av.rot (בְּ/עַבְרוֹת) ""at/ [the] fords of"" (H9003/H5679=HR/Ncfpc)",H9003 H6160L,HR Ncfpc,H9003 H5679,HR Ncfpc
2Sa,16,2,14,וְ/הַ/לֶּ֤חֶם,"K= u./le./ha./le.chem (וּ/לְ/הַ/לֶּחֶם) ""and/ to/ the/ bread"" (H9002/H9005/H9009/H3899H=HC/R/Td/Ncmsa)",H3899H,Td Ncmsa,H9005  H3899H,R Td Ncmsa
2Sa,16,10,8,כֹּ֣ה,"K= ki (כִּי) ""that"" (H3588A=HTc)",H3541,HD,H3588A,HTc
2Sa,16,12,4,בְּ/עֵינִ֑/י,"K= be./'o.n/i (בְּ/עֲוֹנִ/י) ""on/ iniquity/ my"" (H9003/H5771G/H9020=HR/Ncbsc/Sp1bs)",H9003 H5869K H9020,HR Ncfsc Sp1bs,H9003 H5771G H9020,HR Ncbsc Sp1bs
2Sa,16,18,15,ל֥/וֹ,"K= lo' (לֹא) ""not"" (H3808=HTn)",H9005 H9033,HRd Sp3ms,H3808,HTn
2Sa,16,23,8,יִשְׁאַל/־/אִ֖ישׁ,"K= yish.'al-Ish (יִשְׁאַל) ""he enquires"" (H7592=HVqi3ms)",H7592 H9014 H0376G,HVqi3ms  Ncmsa,H7592,HVqi3ms
2Sa,18,3,31,לַ/עְזֽוֹר\׃\ \ס,"K= la/'.zir (לַ/עְזִיר\׃\ \ס) ""to/ help"" (H9005/H5826\H9016\ \H9018=HR/Vhcc)",H9005 H5826 H9016   H9018,HR Vqcc,H9018,HR Vhcc
2Sa,18,13,3,בְ/נַפְשִׁ/י֙,"K= ve./naf.sh/o (בְ/נַפְשׁ/וֹ) ""on/ life/ his"" (H9003/H5315H/H9023=HR/Ncbsc/Sp3ms)",H9003 H5315H H9020,HR Ncfsc Sp1bs,H9003 H5315H H9023,HR Ncbsc Sp3ms
